name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
96,8,0,0,0,0,0.0,0,0,0.0,0.0,15,0,4,4,0,0,0,0,0,67732,1.0,1.0,0.0,993,1257,39,1,0,0,0.0
74,13,0,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,0,0,999,1.0,1.0,0.0,0,16,40,1,0,0,0.0
152,0,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,16,0,0,0,0,0,9929,0.0,1.0,0.0,0,261,40,0,0,0,0.0
156,14,0,0,0,0,0.0,0,0,0.0,0.0,15,0,2,2,0,0,0,0,0,9241,1.0,6.0,0.0,295,328,39,1,0,0,0.0
175,19,0,0,11,0,0.0,1,0,1.7,17.4,15,90,19,25,0,0,0,0,2,29378,1.0,2.0,0.0,534,1858,45,1,0,2,5.0
129,18,0,0,0,0,0.0,0,0,0.0,0.0,14,0,1,1,0,0,0,0,0,1715339,0.0,2.0,0.0,43873,24613,41,1,0,0,0.0
148,6,0,0,15,0,0.0,1,0,2.8,27.6,20,90,17,21,0,0,0,0,4,663053,4.0,1.0,0.0,8830,59988,46,0,0,3,2.0
56,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,18,0,0,0,0,0,2447,0.0,2.0,0.0,188,149,40,0,0,0,0.0
93,24,0,0,0,0,0.0,0,0,0.0,0.0,15,0,3,3,0,0,0,0,0,5652,2.0,3.0,0.0,275,159,40,0,0,0,0.0
120,16,0,0,0,0,0.0,0,0,0.0,0.0,17,0,0,0,0,0,0,0,0,9402,0.0,1.0,0.0,227,189,39,1,0,0,0.0
171,7,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,0,0,26533,2.0,0.0,0.0,0,1402,44,0,0,0,0.0
145,15,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,0,0,2786,0.0,1.0,0.0,61,103,40,1,0,0,0.0
71,2,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,16,0,0,0,0,0,10156,0.0,2.0,0.0,244,486,44,1,0,0,0.0
41,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,0,0,16878,1.0,3.0,0.0,564,363,39,0,0,0,0.0
77,13,0,0,0,0,0.0,0,0,0.0,0.0,15,0,13,15,0,0,0,0,0,13176,0.0,1.0,0.0,101,216,43,0,0,0,0.0
21,21,0,0,0,0,0.0,0,0,0.0,0.0,12,0,19,25,0,0,0,0,0,20788,1.0,2.0,0.0,580,426,39,0,0,0,0.0
150,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,9,0,0,0,0,0,75066,1.0,3.0,0.0,796,1629,40,1,0,0,0.0
11,8,0,0,0,0,0.0,0,0,0.0,0.0,15,0,7,7,0,0,0,0,0,6101,3.0,2.0,0.0,71,119,40,0,0,0,0.0
174,18,0,0,0,0,0.0,0,0,0.0,0.0,14,0,18,24,0,0,0,0,0,21357,2.0,3.0,0.0,262,431,40,0,0,0,0.0
146,7,0,0,0,0,0.0,0,0,0.0,0.0,15,0,8,8,0,0,0,0,0,11966,3.0,2.0,0.0,227,276,40,1,0,0,0.0
130,3,0,0,0,0,0.0,0,0,0.0,0.0,14,0,10,12,0,0,0,0,0,621,0.0,3.0,0.0,0,12,40,0,0,0,0.0
109,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,0,0,19178,1.0,3.0,0.0,126,352,40,0,0,0,0.0
117,6,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,0,0,2063,4.0,4.0,0.0,67,68,40,1,0,0,0.0
52,18,0,0,0,0,0.0,0,0,0.0,0.0,14,0,18,24,0,0,0,0,0,10174,2.0,3.0,0.0,71,171,43,0,0,0,0.0
44,6,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,0,0,1418,4.0,4.0,0.0,46,58,40,1,0,0,0.0
172,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,9,0,0,0,0,0,404,1.0,3.0,0.0,0,5,40,1,0,0,0.0
5,21,0,0,0,0,0.0,0,0,0.0,0.0,12,0,19,25,0,0,0,0,0,22401,1.0,2.0,0.0,1453,837,39,0,0,0,0.0
38,0,0,0,17,0,0.0,1,0,2.6,26.4,15,90,5,5,0,0,0,0,4,508684,1.0,3.0,0.0,58416,12684,49,1,0,3,0.0
164,13,0,0,14,0,0.0,1,0,2.7,26.8,15,90,13,15,0,0,0,0,3,24822,0.0,1.0,0.0,2217,1126,45,0,0,3,3.0
16,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,0,0,1044,1.0,3.0,0.0,0,31,40,0,0,0,0.0
119,3,0,0,27,0,0.0,3,0,4.5,44.6,14,90,10,12,0,0,0,0,8,267923,0.0,3.0,0.0,2879,26881,45,0,0,3,3.0
122,16,0,0,0,0,0.0,0,0,0.0,0.0,17,0,2,2,0,0,0,0,0,101571,0.0,2.0,0.0,1882,1859,39,0,0,0,0.0
34,2,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,16,0,0,0,0,0,47583,0.0,2.0,0.0,50,1309,40,1,0,0,0.0
49,3,0,0,0,0,0.0,0,0,0.0,0.0,14,0,10,12,0,0,0,0,0,20443,0.0,3.0,0.0,424,493,39,0,0,0,0.0
105,4,0,0,0,0,0.0,0,0,0.0,0.0,14,0,16,19,0,0,0,0,0,74,1.0,1.0,0.0,0,0,40,1,0,0,0.0
0,0,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,0,0,793804,1.0,3.0,0.0,1732,41025,47,1,0,0,6.0
100,0,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,0,0,5120,1.0,3.0,0.0,188,231,40,1,0,0,0.0
40,7,0,0,0,0,0.0,0,0,0.0,0.0,15,0,8,8,0,0,0,0,0,25198,3.0,2.0,0.0,104,1057,44,1,0,0,0.0
79,5,0,0,15,0,0.0,3,0,2.9,29.2,15,90,0,0,0,0,0,0,3,90546,1.0,3.0,0.0,1505,4144,45,0,0,2,1.0
99,16,0,0,0,0,0.0,0,0,0.0,0.0,17,0,2,2,0,0,0,0,0,889,0.0,2.0,0.0,0,20,40,0,0,0,0.0
159,14,0,0,0,0,0.0,0,0,0.0,0.0,16,0,6,6,0,0,0,0,0,86883,4.0,4.0,0.0,3280,4335,39,0,0,0,0.0
153,7,0,0,9,0,0.0,3,0,1.2,11.6,15,90,8,8,0,0,0,0,1,557569,3.0,2.0,0.0,115600,11463,46,1,0,1,1.0
43,6,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,0,0,3430,4.0,4.0,0.0,88,161,45,1,0,0,0.0
115,24,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,18,0,0,0,0,0,142559,2.0,3.0,0.0,1205,3631,42,1,0,0,0.0
81,4,0,0,12,0,0.0,1,0,0.9,9.0,14,90,16,19,0,0,0,0,1,259410,1.0,1.0,0.0,3984,13078,43,1,0,2,0.0
136,16,0,1,26,0,0.0,2,0,5.4,54.4,17,90,2,2,0,0,0,0,8,1188274,0.0,2.0,0.0,34832,14892,55,0,0,4,3.0
170,4,0,0,0,0,0.0,0,0,0.0,0.0,14,0,16,19,0,0,0,0,0,31076,1.0,1.0,0.0,928,777,39,1,0,0,0.0
45,14,0,0,24,0,0.0,4,0,3.3,33.2,16,90,6,6,0,0,0,0,5,1763527,4.0,4.0,0.0,10225,70295,55,0,0,1,2.0
127,25,0,0,0,0,0.0,0,0,0.0,0.0,12,0,17,21,0,0,0,0,0,34384,1.0,2.0,0.0,0,615,40,1,0,0,0.0
103,6,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,0,0,21041,4.0,4.0,0.0,0,327,50,1,0,0,0.0
121,2,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,16,0,0,0,0,0,9585,0.0,2.0,0.0,0,205,40,1,0,0,0.0
64,21,0,0,17,0,0.0,2,0,2.1,21.2,12,90,19,25,0,0,0,0,2,832755,1.0,2.0,0.0,41103,22776,52,0,0,1,2.0
7,24,0,0,14,0,0.0,2,0,2.3,22.6,14,90,15,18,0,0,0,0,3,3823410,2.0,3.0,0.0,54656,35090,43,1,0,2,3.0
6,12,0,0,27,1,0.0,0,0,2.4,23.8,14,90,3,3,0,0,0,0,3,1304429,0.0,3.0,0.0,38139,24943,56,1,0,7,3.0
85,7,0,0,0,0,0.0,0,0,0.0,0.0,15,0,8,8,0,0,0,0,0,110038,3.0,2.0,0.0,262,1441,40,1,0,0,0.0
112,16,0,0,0,0,0.0,0,0,0.0,0.0,17,0,2,2,0,0,0,0,0,25848,0.0,2.0,0.0,825,573,39,0,0,0,0.0
17,4,0,0,0,0,0.0,0,0,0.0,0.0,14,0,16,19,0,0,0,0,0,41204,1.0,1.0,0.0,4361,1142,44,1,0,0,1.0
19,9,0,0,17,0,0.0,3,0,3.1,30.8,14,90,1,1,0,0,0,0,4,1498582,1.0,3.0,0.0,12013,39240,47,0,0,2,2.0
167,13,0,0,0,0,0.0,0,0,0.0,0.0,15,0,13,15,0,0,0,0,0,4006,0.0,1.0,0.0,188,106,44,0,0,0,0.0
