name,team_x,assists,bonus,bps,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
189,12,0,0,0,0.0,0,0,0.0,0.0,16,0,9,10,0,0,0,339175,3.0,4.0,0.0,0,0,45,1,0,0,0.0
190,8,0,0,17,13.8,0,0,10.7,26.2,15,90,16,21,0,0,0,583310,1.0,0.0,67.0,0,0,80,0,0,2,12.0
192,12,0,0,10,7.2,3,0,5.1,5.8,16,90,9,10,0,0,0,248434,3.0,4.0,38.0,0,0,95,1,1,1,5.0
194,10,0,0,0,0.3,1,0,0.0,0.0,16,28,10,12,0,0,0,462199,3.0,4.0,0.0,0,0,60,0,0,1,1.0
204,20,0,0,4,0.0,0,0,0.4,2.0,14,5,5,7,0,0,0,87664,0.0,1.0,2.0,0,0,55,0,0,1,1.0
209,24,0,0,2,10.7,1,0,4.1,2.4,19,23,13,16,0,0,0,35853,2.0,0.0,28.0,0,0,65,1,0,1,1.0
212,6,0,0,0,0.0,0,0,0.0,0.0,19,0,2,4,0,0,0,278989,3.0,1.0,0.0,0,0,75,0,0,0,1.0
219,6,1,0,10,11.7,1,0,9.6,4.8,19,90,2,4,0,0,0,2838333,3.0,1.0,79.0,0,0,95,0,0,5,2.0
230,16,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,23205,2.0,0.0,0.0,0,0,50,0,0,0,0.0
0,4,0,2,27,11.3,0,1,6.9,34.8,13,89,13,16,0,0,0,35030,3.0,0.0,23.0,5332,6493,55,0,0,8,2.0
8,24,0,0,0,0.0,0,0,0.0,0.0,19,0,0,0,0,0,0,574,1.0,2.0,0.0,146,113,55,0,0,0,0.0
10,9,0,3,47,7.5,4,2,15.9,75.2,14,90,9,10,0,0,0,1290155,3.0,4.0,76.0,59667,261712,60,0,1,12,2.0
12,0,0,1,29,5.7,1,1,7.0,33.0,19,76,18,24,0,0,0,342387,1.0,2.0,31.0,93434,33483,85,1,0,7,7.0
16,16,0,0,1,0.3,2,0,0.6,3.2,13,45,2,4,0,0,0,56622,3.0,0.0,2.0,30119,11672,55,1,0,1,4.0
17,15,0,0,4,6.0,3,0,3.5,1.2,16,90,5,7,0,0,0,1156211,3.0,1.0,28.0,419865,79295,90,1,0,2,2.0
22,5,0,0,0,0.0,0,0,0.0,0.0,18,0,8,11,0,0,0,6993,2.0,4.0,0.0,153,2942,60,0,0,0,0.0
26,19,0,0,0,0.0,0,0,0.0,0.0,17,0,1,1,0,0,0,21686,0.0,1.0,0.0,4385,4355,60,0,0,0,1.0
27,9,0,0,28,0.5,0,1,5.2,34.6,14,32,9,10,0,0,0,9284,3.0,4.0,17.0,1715,2550,55,0,0,5,1.0
32,23,0,0,2,25.0,5,0,4.6,7.6,11,90,6,8,0,0,0,16285,2.0,5.0,13.0,4678,4590,55,0,0,2,13.0
33,16,0,0,-1,0.8,3,0,0.8,0.0,13,90,2,4,0,0,0,985394,3.0,0.0,10.0,372449,84869,65,1,0,2,8.0
39,8,0,0,0,0.0,0,0,0.0,0.0,11,0,17,23,0,0,0,524,2.0,5.0,0.0,80,126,60,1,0,0,0.0
40,23,0,0,0,0.0,0,0,0.0,0.0,11,0,6,8,0,0,0,49333,2.0,5.0,0.0,3463,18268,55,0,0,0,0.0
41,20,0,0,-6,21.2,4,0,10.0,6.4,11,79,16,21,0,0,0,251773,5.0,2.0,72.0,18737,58873,60,1,1,1,5.0
45,7,0,0,0,0.0,0,0,0.0,0.0,16,0,12,15,0,0,0,12391,3.0,1.0,0.0,320,4462,55,0,0,0,1.0
44,5,0,0,24,1.1,4,1,8.2,37.2,18,90,8,11,0,0,0,139905,2.0,4.0,44.0,11817,22063,65,0,0,6,2.0
49,7,0,0,0,0.0,0,0,0.0,0.0,16,0,12,15,0,0,0,83421,3.0,1.0,0.0,9889,17938,45,0,0,0,0.0
56,20,0,1,50,3.7,5,2,10.6,64.2,11,90,16,21,0,0,0,1228417,5.0,2.0,38.0,26313,337321,85,1,0,11,9.0
60,19,0,0,1,0.2,0,0,0.0,0.0,17,30,1,1,0,0,0,63573,0.0,1.0,0.0,6536,13043,55,0,0,1,2.0
67,12,0,0,0,0.0,0,0,0.0,0.0,15,0,4,6,0,0,0,73570,2.0,0.0,0.0,4807,16348,55,0,0,0,0.0
69,8,0,3,74,0.4,2,3,24.4,99.6,11,70,17,23,0,0,0,875767,2.0,5.0,144.0,399696,68548,71,1,0,17,6.0
72,16,0,0,0,0.0,0,0,0.0,0.0,13,0,2,4,0,0,0,2498,3.0,0.0,0.0,77,932,60,1,0,0,0.0
75,0,0,3,31,0.1,0,1,5.5,34.0,19,13,18,24,0,0,0,83645,1.0,2.0,21.0,3801,38442,59,1,0,8,1.0
84,25,0,0,3,0.0,1,0,0.0,0.0,19,12,11,14,0,0,0,81758,3.0,1.0,0.0,10433,18895,55,1,0,1,1.0
86,4,0,0,0,0.0,0,0,0.0,0.0,13,0,13,16,0,0,0,14656,3.0,0.0,0.0,367,7715,50,0,0,0,0.0
90,14,0,1,28,13.8,1,1,10.6,47.0,19,90,19,25,0,0,0,153900,3.0,1.0,45.0,45431,15917,95,0,1,6,0.0
93,4,0,0,0,0.0,0,0,0.0,0.0,13,0,13,16,0,0,0,14517,3.0,0.0,0.0,1468,5444,50,0,0,0,0.0
94,23,0,0,0,0.0,0,0,0.0,0.0,11,0,6,8,0,0,0,24461,2.0,5.0,0.0,2625,5897,55,0,0,0,1.0
96,21,4,3,81,40.8,1,1,18.4,108.4,11,83,15,20,0,0,0,829125,5.0,2.0,35.0,39756,180310,105,0,0,21,5.0
