name,team_x,assists,bonus,bps,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
91,25,0,0,0,0.0,0,0,0.0,0.0,14,0,5,6,0,0,0,0,0.0,0.0,0.0,0,0,45,1,0,0,0.0
503,0,0,0,0,0.0,0,0,0.0,0.0,17,0,9,10,0,0,0,70119,4.0,1.0,0.0,1128,1080,69,0,0,0,4.0
215,0,1,0,25,30.1,1,0,9.0,40.0,17,90,9,10,0,0,0,27999,4.0,1.0,20.0,1881,568,48,0,1,4,2.0
190,14,0,0,0,0.0,0,0,0.0,0.0,14,0,13,16,0,0,0,188347,4.0,0.0,0.0,45,1536,67,0,0,0,0.0
349,6,0,0,0,0.0,0,0,0.0,0.0,14,0,19,25,0,0,0,318661,0.0,0.0,0.0,6268,13773,78,0,0,0,0.0
431,0,1,2,30,64.8,1,0,11.4,32.2,17,84,9,10,0,0,0,380512,4.0,1.0,17.0,105443,15983,55,0,0,7,9.0
482,25,0,0,0,0.0,0,0,0.0,0.0,14,0,5,6,0,0,0,10616,0.0,0.0,0.0,0,158,45,1,0,0,0.0
292,16,0,0,4,10.3,1,0,1.3,2.2,14,10,11,14,0,0,0,3880,4.0,0.0,0.0,55,91,48,1,0,1,0.0
96,21,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,5249,2.0,2.0,0.0,5,60,57,1,0,0,1.0
116,25,0,0,0,0.0,0,0,0.0,0.0,14,0,5,6,0,0,0,23708,0.0,0.0,0.0,265,549,45,1,0,0,0.0
543,14,0,0,0,0.0,0,0,0.0,0.0,14,0,13,16,0,0,0,1090002,4.0,0.0,0.0,408916,11059,81,0,0,0,1.0
645,12,0,0,0,0.0,0,0,0.0,0.0,16,0,16,21,0,0,0,60239,2.0,2.0,0.0,4625,3205,53,0,0,0,0.0
71,12,0,0,0,0.0,0,0,0.0,0.0,16,0,16,21,0,0,0,1205,2.0,2.0,0.0,0,15,45,0,0,0,0.0
590,14,0,0,0,0.0,0,0,0.0,0.0,14,0,13,16,0,0,0,1469,4.0,0.0,0.0,10,27,48,0,0,0,0.0
22,12,0,0,0,0.0,0,0,0.0,0.0,16,0,16,21,0,0,0,14350,2.0,2.0,0.0,952,393,58,0,0,0,1.0
134,25,0,0,9,20.6,0,0,5.1,6.2,14,78,5,6,0,0,0,8034,0.0,0.0,24.0,947,561,55,1,0,3,3.0
130,12,0,0,0,0.0,0,0,0.0,0.0,16,0,16,21,0,0,0,6395,2.0,2.0,0.0,11,244,50,0,0,0,0.0
492,6,0,0,18,11.3,0,0,6.3,15.8,14,90,19,25,0,0,0,194729,0.0,0.0,36.0,5734,2395,49,0,0,3,2.0
280,20,1,3,36,26.2,2,1,10.3,59.4,15,90,18,24,0,0,0,163808,3.0,2.0,17.0,5449,3458,63,0,0,13,9.0
95,15,0,0,10,28.5,1,0,4.2,11.6,20,90,13,16,0,0,0,1425591,1.0,1.0,2.0,79314,21747,116,0,1,1,0.0
274,7,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,132188,0.0,3.0,0.0,3051,13377,43,0,0,0,0.0
267,7,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,2563,0.0,3.0,0.0,63,66,47,0,0,0,0.0
26,4,0,0,6,20.9,0,0,3.3,1.2,20,84,2,3,0,0,0,29170,0.0,2.0,11.0,94,457,53,1,0,3,2.0
28,4,0,0,0,0.0,0,0,0.0,0.0,20,0,2,3,0,0,0,103,0.0,2.0,0.0,0,2,55,1,0,0,0.0
294,7,0,0,6,0.0,0,0,0.5,3.0,15,15,16,21,0,0,0,3687,0.0,3.0,2.0,85,93,54,0,0,1,8.0
275,14,0,0,0,0.0,0,0,0.0,0.0,15,0,8,11,0,0,0,212,3.0,6.0,0.0,12,26,45,1,0,0,0.0
320,6,0,3,55,13.7,1,2,12.3,75.2,17,90,1,1,0,0,0,420563,3.0,1.0,34.0,17294,34049,58,0,0,15,2.0
243,14,0,0,32,8.5,3,1,8.3,44.0,15,90,8,11,0,0,0,350584,3.0,6.0,30.0,13126,41307,73,1,0,7,0.0
146,24,0,0,5,6.6,3,0,2.8,6.8,15,90,15,20,0,0,0,483003,3.0,2.0,15.0,22717,20885,51,1,1,1,0.0
339,15,0,0,0,0.0,0,0,0.0,0.0,20,0,13,16,0,0,0,5086,1.0,1.0,0.0,53,97,47,0,0,0,0.0
413,1,0,0,0,0.0,0,0,0.0,0.0,17,0,5,6,0,0,0,2524,3.0,1.0,0.0,380,420,54,1,0,0,1.0
221,11,0,0,3,0.1,1,0,0.3,2.4,15,19,11,14,0,0,0,9848,3.0,6.0,0.0,23,418,44,0,0,1,1.0
420,4,0,0,0,0.0,0,0,0.0,0.0,20,0,2,3,0,0,0,171,0.0,2.0,0.0,47,13,45,1,0,0,0.0
14,0,0,0,0,0.0,0,0,0.0,0.0,15,0,14,17,0,0,0,5120,5.0,0.0,0.0,857,876,52,0,0,0,0.0
299,15,0,0,0,0.0,0,0,0.0,0.0,20,0,13,16,0,0,0,86732,1.0,1.0,0.0,402,853,68,0,0,0,0.0
