name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
221,12,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,9,0,0,0,11342,3.0,4.0,0.0,357,566,40,1,0,0,0.0
44,6,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,545097,2.0,3.0,0.0,110,12173,54,1,0,0,0.0
190,12,0,0,6,0,0.8,1,0,0.6,5.4,14,21,9,9,0,0,0,154889,3.0,4.0,0.0,4054,9502,49,1,0,1,5.0
333,14,0,0,12,0,3.7,3,0,2.2,8.8,16,90,17,21,0,0,0,549737,3.0,3.0,9.0,32195,11988,49,1,0,1,2.0
267,25,0,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,0,1.0,2.0,0.0,0,0,40,0,0,0,0.0
422,25,0,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,53481,1.0,2.0,0.0,1399,11823,45,0,0,0,0.0
73,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,2,2,0,0,0,104092,2.0,2.0,0.0,1988,2187,39,0,0,0,0.0
45,21,0,0,18,0,0.3,3,0,2.0,17.4,16,90,12,14,0,0,0,43732,3.0,3.0,2.0,991,960,43,0,0,1,1.0
137,24,0,0,7,0,12.8,1,0,2.5,8.6,14,90,7,7,0,0,0,73449,1.0,1.0,4.0,3046,4250,45,1,0,2,1.0
35,21,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,9260,3.0,3.0,0.0,73,990,40,0,0,0,0.0
241,14,0,0,0,0,0.0,0,0,0.0,0.0,16,0,17,21,0,0,0,301126,3.0,3.0,0.0,3974,3719,53,1,0,0,1.0
60,0,0,0,3,0,0.3,1,0,0.2,2.0,15,11,19,25,0,0,0,1303097,1.0,2.0,0.0,22639,72100,57,1,0,1,4.0
300,4,0,0,0,0,0.0,0,0,0.0,0.0,14,0,6,6,0,0,0,0,2.0,3.0,0.0,0,0,40,0,0,0,0.0
482,13,0,0,7,0,0.1,2,0,1.5,15.2,15,75,3,3,0,0,0,164772,1.0,3.0,0.0,46556,3918,39,0,0,1,0.0
147,1,0,0,13,0,0.8,2,0,2.4,23.2,14,73,2,2,0,0,0,141487,2.0,2.0,0.0,4897,4436,45,0,0,1,8.0
208,16,0,0,0,0,0.0,0,0,0.0,0.0,20,0,13,15,0,0,0,645,0.0,1.0,0.0,0,5,40,1,0,0,0.0
